chr22	37545935	37546316
chr5	217755	217915
chr6	134861020	134861320
chr6	137143416	137143723
chr2	143886293	143886453
chr1	155278484	155278669
chr7	45066641	45066979
chr22	41032704	41032898
chr19	20748578	20748878
chr7	77427889	77428156
chr4	74965064	74965304
chr1	209941762	209941991
chr4	120133508	120133664
chr16	18812628	18812941
chr2	231990062	231990290
chr16	28961988	28962285
chr4	99850215	99850347
chr19	53193685	53193785
chr3	14692979	14692992
chr15	64338823	64339051
chr4	57333444	57333821
chr16	4524681	4524911
chr21	43823842	43824119
chr6	112080984	112081331
chr12	56212101	56212310
chr1	63249545	63249877
chr11	17297353	17297580
chr6	27100066	27100617
chr16	56814604	56814853
chr19	7894730	7895042
chr5	72143770	72144054
chr6	11112095	11112368
chr4	78783076	78783341
chr3	29322150	29322360
chr22	19842320	19842483
chr11	118306955	118307116
chr11	95522861	95522883
chr1	33115885	33116294
chr19	44124188	44124400
chr13	53190760	53190895
chr14	90421318	90421488
chr3	140950103	140950364
chrX	150067882	150068012
chr8	42623811	42624101
chr7	66057366	66057686
chr9	101569582	101569731
chr11	63259204	63259442
chr20	37433631	37433855
chr2	225266713	225267047
chr5	141704666	141704840
chr15	76603734	76603934
chr2	214015015	214015159
chr1	234859541	234859757
chr11	62528392	62528592
chr18	3593590	3593913
chr21	35014592	35014932
chr1	211849169	211849287
chr19	21105878	21106012
chr1	161014652	161015000
chr9	92219638	92219801
chr8	130952553	130952724
chr1	111032887	111033084
chr19	4639092	4639237
chr1	185286519	185286929
chr7	155088828	155089081
chr14	89029002	89029251
chr10	70847357	70847624
chr2	203130254	203130490
chr4	40192459	40192815
chr13	20357101	20357378
chr15	98503408	98503609
chr2	171571243	171571512
chr2	201754038	201754348
chr1	171750277	171750579
chr19	9968709	9968997
chr9	131798580	131798817
chr14	45430723	45430976
chr19	39390433	39390629
chr3	69133081	69133211
chr14	60558262	60558461
chr8	141646275	141646555
chr1	11322895	11322971
chr3	107843688	107843920
chr15	34611163	34611394
chr10	18940337	18940686
chr12	123717825	123718172
chr17	180980	181158
chr7	154861815	154862196
chr9	124132701	124132879
chr1	202779716	202779846
chr16	30886789	30887010
chr12	40013789	40013996
chr15	67546592	67546888
chr11	102323954	102324168
chr9	98224979	98225232
chr12	54020380	54020476
chr9	132083058	132083415
chr1	36851571	36851926
chr11	47198804	47199065
chr1	20511870	20512178
chr6	34360485	34360740
chrX	19361532	19361831
chr1	92951872	92952031
chr5	89769964	89770171
chr21	43482296	43482691
chr16	5083948	5084191
chr5	156607692	156607972
chr19	46195444	46195748
chr17	37617531	37617699
chr2	42794255	42794472
chr14	24600143	24600447
chr3	157827552	157827863
chr7	79763135	79763411
chr1	155036792	155036972
chr6	79576801	79576956
chr10	114207000	114207313
chr16	19078734	19078961
chr2	101179141	101179454
chr3	130569134	130569288
chr12	104323284	104323546
chr14	89029434	89029591
chr4	54232311	54232534
chr8	22500418	22500797
chr15	69744556	69744702
chr19	3155101	3155423
chr6	71997858	71998005
chr12	121163206	121163522
chr15	40331631	40331736
chr3	178864996	178865374
chr1	202131146	202131542
chrX	48379792	48380116
chr1	247267622	247267951
chr4	44679866	44680079
chr19	12834862	12835168
chr17	18219007	18219213
chr19	13048335	13048569
chr22	38902558	38902815
chr15	74495463	74495697
chr17	1992821	1993124
chr8	17103663	17103974
chr5	56470874	56470991
chr16	30389398	30389613
chr9	136214924	136215161
chr1	6419882	6420141
chr12	57040172	57040376
chr16	50403355	50403570
chr20	31097470	31097865
chr2	113931363	113931533
chr20	58712734	58712900
chr14	89289499	89289679
chr3	130465791	130465931
chr12	65003457	65003826
chr2	102972589	102972843
chr17	27039484	27039663
chr17	56413189	56413534
chr18	43678704	43678752
chr15	44969922	44970029
chr19	44454929	44455110
chr12	13043691	13043935
chr1	213188949	213189099
chr3	185303817	185303992
chr2	47403592	47403880
chr8	146277087	146277230
chr10	75910713	75910828
chr9	26892784	26892840
chr2	24270527	24270661
chr14	50863114	50863406
chr7	26578328	26578601
chr16	72128182	72128443
chr6	153323840	153324011
chr5	110848304	110848428
chrX	154255010	154255225
chr8	141468219	141468406
chr8	38243649	38243913
chr17	7145884	7146170
chr5	134181472	134181698
chr19	47105337	47105485
chr6	111888486	111888706
chr11	65028828	65029003
chr6	122792387	122792500
chr18	19191950	19192137
chr19	23578310	23578465
chr3	48723316	48723524
chrX	70751972	70752225
chr9	72874109	72874237
chr12	132433435	132433595
chr6	30525377	30525623
chr4	68424124	68424384
chr1	2488465	2488642
chr5	96271024	96271331
chr14	75229692	75229996
chr6	108582524	108582780
chr11	57298707	57298978
chr1	28974336	28974585
chr2	61765304	61765555
