chr17	27278162	27279715	NRF1_IP_R1_peak_7277	470568	.	789.275	47064.8	47056.8	530
chr22	19841324	19843483	NRF1_IP_R1_peak_11820	449380	.	311.846	44945.5	44938	1140
chr22	21355660	21356849	NRF1_IP_R1_peak_11861	437179	.	317.016	43725.2	43718	434
chr1	32478884	32480516	NRF1_IP_R1_peak_567	436152	.	888.374	43622.4	43615.2	461
chr9	134000423	134001256	NRF1_IP_R1_peak_17908	426578	.	173.018	42664.8	42657.9	414
chr12	13080059	13080990	NRF1_IP_R1_peak_3822	406543	.	787.473	40661.1	40654.3	555
chr21	46293374	46294355	NRF1_IP_R1_peak_11723	405131	.	1012.32	40519.9	40513.1	419
chr19	7968058	7969702	NRF1_IP_R1_peak_8644	404959	.	661.532	40502.7	40496	532
chr19	48866410	48867791	NRF1_IP_R1_peak_9488	391650	.	600.605	39171.6	39165	924
chr1	16160599	16163008	NRF1_IP_R1_peak_276	389882	.	633.109	38994.8	38988.3	1917
chr19	11070970	11071894	NRF1_IP_R1_peak_8734	387460	.	1877.01	38752.6	38746.1	434
chr19	34849811	34850775	NRF1_IP_R1_peak_9093	378058	.	719.372	37812.3	37805.9	494
chr1	16939713	16940526	NRF1_IP_R1_peak_296	371667	.	233.642	37173.1	37166.7	359
chr1	231473154	231474300	NRF1_IP_R1_peak_1820	367392	.	508.747	36745.6	36739.3	516
chr19	5622191	5623435	NRF1_IP_R1_peak_8567	364490	.	787.087	36455.3	36449.1	774
chr9	139980467	139981805	NRF1_IP_R1_peak_18037	364371	.	571.336	36443.5	36437.2	842
chr1	24969021	24970309	NRF1_IP_R1_peak_422	356705	.	772.753	35676.8	35670.6	614
chr19	3762489	3763508	NRF1_IP_R1_peak_8524	348041	.	526.524	34810.3	34804.1	491
chr17	57969799	57970868	NRF1_IP_R1_peak_7717	345341	.	552.176	34540.2	34534.1	521
chr21	9968197	9969008	NRF1_IP_R1_peak_11509	343485	.	254.237	34354.6	34348.5	425
chr19	5977779	5978715	NRF1_IP_R1_peak_8581	333156	.	646.23	33321.7	33315.7	497
chr19	39137768	39138649	NRF1_IP_R1_peak_9212	325159	.	1072.88	32521.9	32515.9	452
chr21	48054847	48056186	NRF1_IP_R1_peak_11765	324994	.	497.048	32505.4	32499.4	712
chr6	41039460	41041808	NRF1_IP_R1_peak_15134	323023	.	456.657	32308.3	32302.3	925
chr1	16970313	16971708	NRF1_IP_R1_peak_297	321360	.	213.614	32142	32136	946
chr21	35747241	35748153	NRF1_IP_R1_peak_11586	315011	.	643.511	31507.1	31501.2	465
chr3	47017541	47018803	NRF1_IP_R1_peak_12533	306841	.	536.047	30690.1	30684.2	462
chr17	57183798	57184797	NRF1_IP_R1_peak_7709	301694	.	670.274	30175.3	30169.4	508
chr19	46405631	46406651	NRF1_IP_R1_peak_9419	299264	.	781.528	29932.3	29926.4	509
chr21	30257206	30258107	NRF1_IP_R1_peak_11539	298746	.	606.348	29880.5	29874.7	493
chr20	35579650	35580614	NRF1_IP_R1_peak_11235	298094	.	457.517	29815.2	29809.4	512
chr17	259454	261135	NRF1_IP_R1_peak_6941	295946	.	546.662	29600.4	29594.6	472
chr22	22651964	22652980	NRF1_IP_R1_peak_11891	289790	.	490.841	28984.9	28979.1	522
chr7	148814	149932	NRF1_IP_R1_peak_15677	286141	.	767.368	28619.9	28614.1	534
chr7	152372856	152373680	NRF1_IP_R1_peak_16569	283932	.	527.911	28399	28393.3	419
chr8	23103563	23104550	NRF1_IP_R1_peak_16761	281368	.	593.654	28142.5	28136.8	435
chr1	25573489	25574505	NRF1_IP_R1_peak_430	279140	.	520.402	27919.8	27914	521
chr2	3522068	3523639	NRF1_IP_R1_peak_9813	276840	.	603.741	27689.7	27684	764
chr7	139024784	139025568	NRF1_IP_R1_peak_16456	276709	.	349.317	27676.6	27670.9	403
chr1	202857755	202858756	NRF1_IP_R1_peak_1563	272432	.	428.724	27248.9	27243.3	545
chr3	195716798	195717922	NRF1_IP_R1_peak_13187	272113	.	537.18	27217.1	27211.4	449
chr21	34696624	34697695	NRF1_IP_R1_peak_11570	268518	.	428.027	26857.5	26851.9	642
chr10	27388878	27389912	NRF1_IP_R1_peak_2064	266065	.	680.576	26612.2	26606.5	594
chr16	4475311	4476299	NRF1_IP_R1_peak_6185	265798	.	453.269	26585.5	26579.9	483
chr19	44099983	44100900	NRF1_IP_R1_peak_9343	264316	.	456.37	26437.2	26431.6	439
chr1	142890436	142891414	NRF1_IP_R1_peak_1115	261841	.	131.324	26189.8	26184.1	606
chr16	87984351	87985296	NRF1_IP_R1_peak_6852	259357	.	768.05	25941.3	25935.7	597
chr2	27357097	27357938	NRF1_IP_R1_peak_9960	254199	.	693.918	25425.5	25419.9	421
chr5	175394790	175395696	NRF1_IP_R1_peak_14551	253560	.	416.803	25361.6	25356	509
