chr4	68410817	68411353	TCF12_IP_R1_peak_12735	2292	.	67.0118	236.229	229.286	238
chr11	47416023	47416770	TCF12_IP_R1_peak_2791	3068	.	65.2558	316.339	306.849	419
chr19	17416079	17416876	TCF12_IP_R1_peak_8419	2639	.	64.9426	271.605	263.966	258
chr19	947549	948188	TCF12_IP_R1_peak_7920	1990	.	58.0477	205.557	199.004	328
chr6	147525356	147525874	TCF12_IP_R1_peak_14681	1824	.	55.4005	188.827	182.443	196
chr6	30650024	30650974	TCF12_IP_R1_peak_14174	2484	.	48.4284	255.743	248.425	461
chr3	32442829	32443643	TCF12_IP_R1_peak_11488	1912	.	48.2591	197.691	191.212	279
chr19	13214855	13216051	TCF12_IP_R1_peak_8316	2247	.	48.0348	231.674	224.79	426
chr21	36280638	36281132	TCF12_IP_R1_peak_10621	2498	.	46.8079	257.231	249.867	213
chr12	68758525	68759516	TCF12_IP_R1_peak_3767	1933	.	46.7375	199.847	193.342	297
chr7	125301588	125302127	TCF12_IP_R1_peak_15419	1685	.	46.6698	174.764	168.58	343
chr15	90358042	90358596	TCF12_IP_R1_peak_5558	2446	.	46.1164	251.853	244.623	389
chr1	92950970	92952005	TCF12_IP_R1_peak_785	1439	.	45.2098	149.701	143.957	419
chr16	87812287	87813309	TCF12_IP_R1_peak_6365	1706	.	44.7582	176.818	170.604	711
chr8	144699132	144700471	TCF12_IP_R1_peak_16344	1624	.	44.5915	168.552	162.469	468
chrX	153191787	153193167	TCF12_IP_R1_peak_17383	1366	.	43.9481	142.301	136.673	618
chr12	7830041	7830364	TCF12_IP_R1_peak_3444	1293	.	43.0507	134.901	129.377	148
chr22	23922101	23923206	TCF12_IP_R1_peak_10937	1602	.	42.3931	166.33	160.297	498
chr8	145010014	145011589	TCF12_IP_R1_peak_16363	1628	.	41.2059	168.919	162.834	764
chr15	101991466	101992014	TCF12_IP_R1_peak_5652	1713	.	41.012	177.601	171.377	343
chr7	158649051	158649558	TCF12_IP_R1_peak_15650	1183	.	40.5745	123.767	118.396	154
chr3	49058962	49059667	TCF12_IP_R1_peak_11650	1645	.	40.2624	170.69	164.573	322
chr7	92384204	92384967	TCF12_IP_R1_peak_15284	1554	.	39.7778	161.405	155.48	330
chr22	39147354	39148348	TCF12_IP_R1_peak_11113	1603	.	39.287	166.392	160.356	478
chr17	2693796	2694302	TCF12_IP_R1_peak_6499	1146	.	39.2526	120	114.676	166
chr8	145026176	145027145	TCF12_IP_R1_peak_16371	1322	.	39.0774	137.794	132.229	494
chr18	13464800	13465215	TCF12_IP_R1_peak_7621	1271	.	38.8108	132.682	127.187	160
chr7	148767881	148769344	TCF12_IP_R1_peak_15558	1109	.	38.3714	116.254	110.978	1184
chr19	8436082	8436615	TCF12_IP_R1_peak_8179	1471	.	38.1328	152.949	147.159	390
chr12	131713860	131715146	TCF12_IP_R1_peak_4139	1517	.	37.542	157.642	151.784	877
chr9	132625356	132625851	TCF12_IP_R1_peak_16886	1618	.	37.1119	167.881	161.816	215
chr9	139540523	139541517	TCF12_IP_R1_peak_17029	1200	.	36.9464	125.47	120.076	473
chr9	98256234	98257086	TCF12_IP_R1_peak_16619	1788	.	36.944	185.158	178.813	610
chr4	89378171	89378891	TCF12_IP_R1_peak_12842	1150	.	36.6022	120.345	115.018	157
chr8	102149139	102150014	TCF12_IP_R1_peak_16057	1635	.	36.5439	169.641	163.538	343
chr12	9917401	9917730	TCF12_IP_R1_peak_3462	1043	.	36.3691	109.516	104.331	188
chr7	150064920	150065773	TCF12_IP_R1_peak_15574	1228	.	36.3071	128.235	122.808	234
chr10	22292206	22292999	TCF12_IP_R1_peak_1762	1368	.	36.2889	142.471	136.842	551
chrX	147391922	147392514	TCF12_IP_R1_peak_17353	1018	.	36.1683	106.985	101.836	196
